"Enterprise";"DnsName";"SysDescr";"SysObjectid";"SysUptime";"SysContact";"SysName";"SysLocation";"IfNumber";"IfDescr";"IfSpeed";"IfIndex";"IpForwarding";"IpAdentAddr";"IpAdentIfIndex";"IpAdentNetMask";"IpRouteDest";"IpRouteIfIndex";"IpRouteNexthop";"IpRouteType";"IpRouteMask";"CommunityGet";"Note";"Label";"Label2";"Label3";"RouteComment";"FtpText";"SmtpText";"HttpText";"Pop3Text";"TelneTtext";"Cust1Text";"Cust2Text";"Cust3Text";"Cust1PortText";"Cust2PorTtext";"Cust3PorTtext";"Cust1PortNb";"Cust2PortNb";"Cust3PortNb";"ARPMacAddr";"MacEnterprise";"TcpPorts";"FirstTime";"LastTime";"SmtpAddr";"MacAddr";"NetbiosName";"NetbiosDomain";"SnmpMacAddr";"SnmpNetbiosDomain";"NbNetbiosname";"NbDomainname";"NbVersion";"NbMacaddress";"NbAdaptertype";"WmiMacaddr";"WmiIpaddr";"WmiCol01";"WmiClass01";"WmiValue01";"WmiCol02";"WmiClass02";"WmiValue02";"WmiCol03";"WmiClass03";"WmiValue03";"WmiCol04";"WmiClass04";"WmiValue04";"WmiCol05";"WmiClass05";"WmiValue05";"WmiCol06";"WmiClass06";"WmiValue06";"WmiCol07";"WmiClass07";"WmiValue07";"WmiCol08";"WmiClass08";"WmiValue08";"WmiCol09";"WmiClass09";"WmiValue09";"WmiCol10";"WmiClass10";"Wmi Value10";"WmiCol11";"WmiClass11";"WmiValue11";"WmiCol12";"WmiClass12";"WmiValue12";"WmiCol13";"WmiClass13";"WmiValue13";"WmiCol14";"WmiClass14";"WmiValue14";"WmiCol15";"WmiClass15";"WmiValue15";"WmiCol16";"WmiClass16";"WmiValue16";"NetNumber";"IPAddress";"Type";"SendAlerts";"Locked";"Timeout";"Monitored";"UseTimeout";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.213";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-0C-29-51-1C-F3";"";"";"05/25/17 09:34:27 AM";"05/25/17 09:34:27 AM";"";"00-0C-29-51-1C-F3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.213";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.214";"bogon";"";"";"";"";"Index of /";"";"";"";"";"";"Imap4";"";"";"143";"";"";"44-A8-42-49-73-C7";"";"80 81";"05/25/17 09:34:42 AM";"05/25/17 09:34:42 AM";"";"44-A8-42-49-73-C7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.214";"3";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.219";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"B8-27-EB-93-05-CD";"";"";"05/25/17 09:34:57 AM";"05/25/17 09:34:57 AM";"";"B8-27-EB-93-05-CD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.219";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.222";"bogon";"";"";"";"";"";"";"Ok";"";"";"";"Imap4";"";"";"143";"";"";"00-0C-29-35-7B-4A";"";"";"05/25/17 09:35:12 AM";"05/25/17 09:35:12 AM";"";"00-0C-29-35-7B-4A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.222";"3";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.224";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-0C-29-F7-1A-0D";"";"";"05/25/17 09:35:26 AM";"05/25/17 09:35:26 AM";"";"00-0C-29-F7-1A-0D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.224";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.234";"bogon";"";"";"";"";"";"";"Ok";"";"";"";"Imap4";"";"";"143";"";"";"00-17-61-10-3A-57";"";"";"05/25/17 09:35:45 AM";"05/25/17 09:35:45 AM";"";"00-17-61-10-3A-57";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.234";"3";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.240";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-0C-29-FA-C6-8C";"";"";"05/25/17 09:36:01 AM";"05/25/17 09:36:01 AM";"";"00-0C-29-FA-C6-8C";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.240";"1";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.241";"bogon";"";"";"";"";"Index of /";"";"";"";"";"";"Imap4";"";"";"143";"";"";"E8-61-1F-15-D8-F0";"";"80 8080";"05/25/17 09:36:16 AM";"05/25/17 09:36:16 AM";"";"E8-61-1F-15-D8-F0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.241";"3";"0";"0";"250";"1";"0";
"";"bogon";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"172.20.21.246";"bogon";"";"";"";"";"";"";"";"";"";"";"Imap4";"";"";"143";"";"";"00-14-10-0E-C4-D4";"";"";"05/25/17 09:36:31 AM";"05/25/17 09:36:31 AM";"";"00-14-10-0E-C4-D4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.246";"1";"0";"0";"250";"1";"0";
"HP_Printer";"bogon";"HP ETHERNET MULTI-ENVIRONMENT";".1.3.6.1.4.1.11.2.3.9.1";"2 ÃÏ 13  ± 8 ∑÷ 30 √Î  ";"";"NPI77F8B7";"";"2";"LOOPBACK ¶ NetDrvr";"0 ¶ 10000000";"1 ¶ 2";"2";"127.0.0.1 ¶ 172.20.21.248";"1 ¶ 2";"0 ¶ 0";"";"";"";"";"";"public";"";"172.20.21.248";"bogon";"HP_Printer";"";"";"";"";"";"Ok";"";"";"";"Imap4";"";"";"143";"";"";"2C-59-E5-77-F8-B7";"";"80 8080";"05/25/17 09:36:46 AM";"05/25/17 09:36:46 AM";"";"2C-59-E5-77-F8-B7";"NPI77F8B7";"";" ¶  Yw";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"172.20.21.248";"7";"0";"0";"250";"1";"0";
